Source,Target,Weight
672,12601,5
45,12601,4
162,12602,2
162,12603,9
217,12603,6
789,12604,175
21,12604,80
497,12604,64
790,12604,14
791,12604,12
792,12604,8
793,12604,8
126,12604,7
794,12604,7
795,12604,6
796,12604,6
797,12604,6
798,12604,5
799,12604,5
800,12604,4
801,12604,4
802,12604,4
511,12604,4
803,12604,4
804,12604,3
805,12604,3
806,12604,3
807,12604,3
808,12604,2
809,12604,2
810,12604,2
811,12604,2
812,12604,2
813,12604,2
814,12604,2
815,12605,29
816,12605,1
817,12606,8
818,12608,46
716,12610,1
819,12611,40
11,12611,1
58,12612,14
242,12613,56
111,12614,47
170,12614,31
83,12614,19
778,12615,6
681,12616,363
680,12616,358
679,12616,202
820,12616,102
821,12616,75
822,12616,60
823,12616,53
824,12616,35
825,12616,26
826,12616,26
769,12616,23
827,12616,23
828,12616,19
682,12616,18
829,12616,17
77,12616,13
830,12616,12
831,12616,12
683,12616,10
832,12616,9
833,12616,9
834,12616,9
835,12616,9
836,12616,9
837,12616,8
838,12616,8
839,12616,8
684,12616,6
688,12616,6
840,12616,5
210,12618,7
153,12619,330
319,12619,131
841,12619,39
842,12619,27
843,12619,8
800,12619,4
844,12619,2
171,12619,2
845,12620,4
0,12621,4
846,12622,24
2,12623,31
847,12623,1
848,12623,1
849,12624,17
850,12625,4763
851,12625,66
852,12625,29
853,12625,28
854,12625,26
855,12625,24
856,12625,19
857,12625,18
858,12625,17
859,12625,16
860,12625,14
861,12625,10
862,12625,9
863,12625,8
864,12625,6
865,12625,6
866,12625,5
867,12625,5
868,12625,4
869,12625,4
870,12625,3
871,12625,3
872,12625,2
873,12625,2
874,12625,2
875,12625,2
876,12625,2
877,12625,2
878,12625,2
879,12625,2
880,12626,3
692,12627,9
881,12629,27
882,12630,1013
883,12630,49
884,12630,44
885,12630,18
886,12630,14
887,12630,11
888,12630,9
889,12630,6
890,12630,6
891,12630,5
892,12630,2
893,12630,2
894,12630,1
895,12630,1
896,12630,1
897,12630,1
898,12630,1
899,12630,1
900,12630,1
901,12630,1
902,12631,21
249,12632,47
903,12632,7
904,12633,67
905,12635,39
716,12636,1
905,12637,2
906,12639,21
907,12641,1
908,12641,1
31,12642,86
33,12642,45
35,12642,11
42,12642,6
34,12642,5
49,12642,4
40,12642,4
39,12642,3
52,12642,3
58,12642,2
59,12642,2
649,12642,2
650,12642,1
651,12642,1
46,12642,1
652,12642,1
43,12642,1
3,12642,1
33,12643,19
34,12643,16
31,12643,6
43,12643,5
49,12643,4
35,12643,3
664,12643,1
367,12643,1
675,12643,1
373,12643,1
34,12644,17
35,12644,8
33,12644,5
54,12644,2
58,12644,2
231,12644,2
375,12644,2
49,12644,2
377,12644,2
909,12648,86
3,12649,14
4,12650,2
586,12653,462
910,12653,3
696,12653,3
911,12653,3
912,12653,2
913,12653,2
584,12653,2
914,12653,2
915,12653,2
83,12653,2
425,12653,2
175,12653,2
916,12653,1
266,12653,1
917,12653,1
295,12653,1
918,12653,1
919,12653,1
920,12653,1
470,12653,1
921,12653,1
463,12653,1
922,12653,1
923,12653,1
924,12653,1
925,12653,1
926,12653,1
927,12653,1
928,12653,1
929,12653,1
930,12656,1
931,12657,24
41,12658,3109
367,12658,65
932,12658,43
933,12658,40
292,12658,25
934,12658,19
935,12658,13
445,12658,12
936,12658,10
937,12658,9
938,12658,9
939,12658,7
940,12658,7
31,12658,7
941,12658,6
942,12658,6
664,12658,6
